lambda opt_counts opt_sigma sky_counts
9401.799945310135 -0.1400417761470002 0.9613228196336819 -0.2345206345994998
9403.947219620399 -1.4588787360838198 0.9922741145831818 0.21586386234697033
9406.094933030263 1.2560007938763986 1.1080144180295812 0.2159078496454806
9408.232332220357 0.7711877967109858 1.310219605141191 0.10073336998890452
9410.416582592037 0.2509114679540798 1.2658538904338115 0.20594620400257926
9412.603159504331 0.5194762531273529 1.1615335203727897 0.6021338200333619
9414.767944321557 -0.8979071971411969 1.3818168526590415 0.36909064418839244
9416.903570030505 0.05283370116783088 1.403071897771207 -0.3210581771963734
9419.037806139837 -0.5844273925438109 1.0649241734167307 0.2704556809607009
9421.194280977166 -1.5873091338765821 1.2771717050780984 -0.8603475286273577
9423.365730520349 -2.9699404010402057 1.1620859296598134 0.6192148501315762
9425.497405588425 -0.7005945418381605 1.4552248020857732 -0.6738236168714493
9427.696377502441 -0.40334801756179145 1.6647250631607633 0.4464400645387933
9429.84738599487 -0.19896136762556463 1.1070758939719851 0.09838722390071376
9432.028336987889 -1.2169557241629654 0.9634923299170001 0.16504484394038266
9434.179003917812 -0.09003539222526084 1.111751004103565 0.5218853612757066
9436.321194576169 1.8812374986382467 1.2733186589720231 0.3337173803572889
9438.462809850525 -0.21735316796579662 1.0268805539785735 -0.5302998374035014
9440.61065479206 2.3789848407604954 1.448013002012163 0.3534021370018367
9442.777464177767 0.0600452691330062 1.8497762672118239 1.2787578439229135
9444.951713761475 -0.7176427625217623 1.1875560848829383 -0.0849772527841975
9447.12291053095 0.17640714118334516 0.9512729246271865 0.03207586752546157
9449.283951874619 2.1303358365879443 0.8784745187093923 0.7481520482100557
9451.483284629185 -0.09844880615857152 0.9187314962689691 -0.02831110371516717
9453.669180480441 0.5658314679738995 0.9304546757045277 -0.22987612000936786
9455.847967879658 0.1784809997105079 0.9233042323211956 0.08465172837769307
9458.037754810104 -0.4713545781977537 0.9352237922177898 -0.447115674285982
9460.227702635637 1.6029042546037777 1.3210645164130543 -0.01910763049084376
9462.412117557908 -1.6341821935961436 1.4680735632958068 0.5664319222147465
9464.605056532633 0.022412860021426836 1.0369263422830732 0.6085230521499689
9466.768578304644 -0.2569367325687238 0.9502179106587684 0.4600395315194671
9468.96965056899 0.9604278541986029 0.9128754154354414 0.0384791963329339
9471.204120108823 -0.5654568433546459 0.9150586776803278 -0.009391781379839077
9473.372408523428 0.7661971721159359 0.905538716889947 -0.15460738247264214
9475.566897345967 1.1621334576117162 0.9102999047331799 -0.08760736319552487
9477.758733266823 -0.537018959141683 0.9074957410073492 0.02575646537911586
9479.941004691866 0.5921850952423802 0.9878205210653292 0.11118413493092845
9482.163938291314 1.4642183749109905 1.0057837243122196 -0.3396035739152029
9484.366637153935 2.113120097446481 0.8736927391034978 0.21814939261537825
9486.529036918084 -0.5998587173550229 0.93435428629725 0.46466403688646585
9488.7278558522 0.20520897094762355 0.9322368255283128 -0.05053025439780786
9490.866779893617 -1.549452191820876 0.9203763532716138 -0.07142884003182545
9493.078730164314 0.3721347478323219 0.9093970707680121 -0.23014827307470606
9495.273459380356 -0.9617816037153322 0.9208118553226584 0.12950919008042014
9497.451065378045 -0.38641614106612276 0.9352320533737433 0.48934059529480833
9499.611567767011 1.6512701655447997 0.9196410471348384 -0.16692990060466525
